A	B	C	D	E
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 70.616698 	 8.546076
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 89.493063 	 15.072513
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 95.191168 	 33.288986
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 77.007539 	 15.185456
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 88.007860 	 31.339389
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 90.871014 	 29.574615
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 25.700601 	 5.900968
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 97.783322 	 25.569389
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 117.416386 	 39.994988
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 34.074744 	 14.913457
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 26.437359 	 6.593078
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 24.686654 	 6.870968
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 56.230223 	 9.941458
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 59.111333 	 27.551213
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 50.255197 	 3.611969
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 127.120355 	 39.989379
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 45.747852 	 27.871196
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 70.441619 	 1.503000
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 59.976225 	 11.785456
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 82.560670 	 6.707968
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 71.917484 	 26.504615
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 103.576432 	 6.687079
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 93.020088 	 22.539389
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 32.591030 	 6.431968
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 103.415915 	 24.021389
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 41.428796 	 15.094457
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 32.524333 	 4.015969
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 110.450714 	 37.276379
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 28.623163 	 6.701076
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 49.185978 	 27.742213
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 52.750751 	 6.746079
