A	B	C	D	E
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 104.066760 	 22.129198
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 85.377372 	 37.405379
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 107.999120 	 6.841968
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 31.396557 	 9.913968
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 29.883207 	 8.055077
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 41.789805 	 7.582458
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 54.823924 	 17.417457
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 36.027667 	 7.877078
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 33.438349 	 9.973968
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 34.349936 	 15.579456
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 81.151188 	 7.786513
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 63.170027 	 25.660389
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 76.427562 	 31.445389
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 106.196532 	 29.576213
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 120.146642 	 7.987889
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 123.577693 	 27.871196
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 105.466770 	 29.055615
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 137.653990 	 32.948987
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 39.220272 	 10.039968
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 114.001913 	 39.978379
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 47.154717 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 47.361529 	 17.714457
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 40.677964 	 8.739077
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 38.599063 	 10.396968
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 74.215723 	 15.072513
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 46.951446 	 29.574615
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 92.660801 	 29.897213
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 54.671847 	 25.569389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 85.198772 	 33.288986
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 76.817960 	 9.174000
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 78.439408 	 8.546076
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 71.179553 	 15.185456
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 82.484508 	 31.339389
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 99.380457 	 39.994988
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 96.120355 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 25.396301 	 5.900968
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 39.174024 	 14.913457
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 33.995087 	 6.687079
