A	B	C	D	E
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 75.425960 	 24.021389
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 104.196059 	 37.276379
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 26.788976 	 6.431968
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 24.172615 	 3.611969
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 41.152336 	 9.790458
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 34.432409 	 2.113000
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 18.902763 	 7.238968
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 49.172667 	 27.742213
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 33.137958 	 6.701076
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 140.135409 	 26.504615
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 59.122531 	 15.094457
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 36.460110 	 11.995456
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 49.316616 	 22.681389
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 74.927437 	 6.746079
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 85.519637 	 6.841968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 79.083734 	 23.967389
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 97.483125 	 37.405379
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 119.337807 	 22.129198
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 36.900954 	 9.913968
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 122.961057 	 27.092615
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 40.151666 	 7.582458
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 39.972795 	 17.417457
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 39.068571 	 7.877078
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 58.591526 	 7.786513
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 40.297374 	 9.973968
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 44.835047 	 15.579456
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 91.633502 	 29.576213
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 87.164349 	 8.055077
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 71.034203 	 31.445389
